"","WillowSubNo","PayCode","movieCheck","trialNo","itemId","eventOrder","blockOrder","eventType","condition","manner","result","verbName","verbMeaning","seeAmbigV1","seeAmbigV2","seeBiasV1","seeBiasV2","seeTrain1a","seeTrain2a","seeTrain3a","seeTrain1b","seeTrain2b","seeTrain3b","seeTestV1","seeTestV2","ambigS","ambigV","bias1","bias2","biasV1Ans","bias1RESP","biasV2Ans","bias2RESP","test1","test2","testV1Ans","test1RESP","testV2Ans","test2RESP","catchTrialNum","catchOrderedNum","catchTrialRESP","commentCheck","HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Answer.Comments","Answer.English","Answer.country","Approve","Reject","trialCount","SubNo"
"10","103","c2bbbd4413i103","A red and green ball bouncing back and forth.","4","8","b1Motion_b2Causal","b1Path_b2Causal","Motion","Path","walk","front","dacking","front","1","1","1","1","0","1","1","1","1","1","1","1","The monster is dacking in front of the elephant. ","walk.front.elephant","roll.front.giraffe","walk.over.sandpile","0","0","1","1","walk.through.hut","hop.front.bunny","0","0","1","1","9 8 1 6 1","    11689","11689","","21CDD8XMB3Q3MPIDU7KOCT4GI7FQFV","2SEYHVI44OS2XBCA105ZYBAP5Q6Y4L","Merry Monster Survey","Watch videos and answer questions to learn new words (60-75 minutes)!","psychology, language, words, sentences, judgment","$3.00","Thu Sep 26 16:51:40 GMT 2013",80,"BatchId:1278696;",14400,864000,"Tue Oct 01 16:51:40 GMT 2013",NA,NA,"29UMIKMN9U8PMOLAH9NXO3SZD5TSBZ","AA9V4NE8SOA4I","Approved","Thu Sep 26 17:14:27 GMT 2013","Thu Sep 26 18:37:41 GMT 2013","Sun Oct 06 11:37:41 PDT 2013","Fri Sep 27 11:21:53 PDT 2013",NA,NA,4994,"100% (1/1)","100% (1/1)","100% (1/1)","That was very boring.I hope our data helps.
Have a nice day!","yes","USA",NA,NA,16,"1"
"14","103","c2bbbd4413i103","A red and green ball bouncing back and forth.","5","3","b1Motion_b2Causal","b1Path_b2Causal","Motion","Path","flapwalk","up","zarking","up","0","1","1","0","1","1","1","1","1","1","1","1","The monster is zarking up to the cat.","flapwalk.up.cat","flapwalk.around.horse","crawl.up.swan","1","0","0","1","tiptoe.up.well","flapwalk.into.igloo","1","1","0","0","2 3 2 0 0","    00223","00223","","21CDD8XMB3Q3MPIDU7KOCT4GI7FQFV","2SEYHVI44OS2XBCA105ZYBAP5Q6Y4L","Merry Monster Survey","Watch videos and answer questions to learn new words (60-75 minutes)!","psychology, language, words, sentences, judgment","$3.00","Thu Sep 26 16:51:40 GMT 2013",80,"BatchId:1278696;",14400,864000,"Tue Oct 01 16:51:40 GMT 2013",NA,NA,"29UMIKMN9U8PMOLAH9NXO3SZD5TSBZ","AA9V4NE8SOA4I","Approved","Thu Sep 26 17:14:27 GMT 2013","Thu Sep 26 18:37:41 GMT 2013","Sun Oct 06 11:37:41 PDT 2013","Fri Sep 27 11:21:53 PDT 2013",NA,NA,4994,"100% (1/1)","100% (1/1)","100% (1/1)","That was very boring.I hope our data helps.
Have a nice day!","yes","USA",NA,NA,16,"1"
"7","103","c2bbbd4413i103","A red and green ball bouncing back and forth.","6","1","b1Motion_b2Causal","b1Path_b2Causal","Motion","Path","crabwalk","into","krading","into","0","1","1","1","1","1","1","1","1","1","1","1","The monster is krading into the garage.","crabwalk.into.garage","crabwalk.down.birdhouse","hop.into.cabin","1","0","0","1","roll.into.tower","crabwalk.up.cat","1","1","0","0","5 7 2 8 0","    02578","02578","","21CDD8XMB3Q3MPIDU7KOCT4GI7FQFV","2SEYHVI44OS2XBCA105ZYBAP5Q6Y4L","Merry Monster Survey","Watch videos and answer questions to learn new words (60-75 minutes)!","psychology, language, words, sentences, judgment","$3.00","Thu Sep 26 16:51:40 GMT 2013",80,"BatchId:1278696;",14400,864000,"Tue Oct 01 16:51:40 GMT 2013",NA,NA,"29UMIKMN9U8PMOLAH9NXO3SZD5TSBZ","AA9V4NE8SOA4I","Approved","Thu Sep 26 17:14:27 GMT 2013","Thu Sep 26 18:37:41 GMT 2013","Sun Oct 06 11:37:41 PDT 2013","Fri Sep 27 11:21:53 PDT 2013",NA,NA,4994,"100% (1/1)","100% (1/1)","100% (1/1)","That was very boring.I hope our data helps.
Have a nice day!","yes","USA",NA,NA,16,"1"
"2","103","c2bbbd4413i103","A red and green ball bouncing back and forth.","7","7","b1Motion_b2Causal","b1Path_b2Causal","Motion","Path","tiptoe","over","birking","over","0","0","0","0","0","1","1","1","1","1","1","0","The monster is birking over the cone.","tiptoe.over.cone","tiptoe.front.snowplow","stoopwalk.over.haystack","1","0","0","1","flapwalk.over.plane","tiptoe.between.pigs","1","1","0","0","3 0 6 7 2","    02367","02367","I feel like your erasing my brain.","21CDD8XMB3Q3MPIDU7KOCT4GI7FQFV","2SEYHVI44OS2XBCA105ZYBAP5Q6Y4L","Merry Monster Survey","Watch videos and answer questions to learn new words (60-75 minutes)!","psychology, language, words, sentences, judgment","$3.00","Thu Sep 26 16:51:40 GMT 2013",80,"BatchId:1278696;",14400,864000,"Tue Oct 01 16:51:40 GMT 2013",NA,NA,"29UMIKMN9U8PMOLAH9NXO3SZD5TSBZ","AA9V4NE8SOA4I","Approved","Thu Sep 26 17:14:27 GMT 2013","Thu Sep 26 18:37:41 GMT 2013","Sun Oct 06 11:37:41 PDT 2013","Fri Sep 27 11:21:53 PDT 2013",NA,NA,4994,"100% (1/1)","100% (1/1)","100% (1/1)","That was very boring.I hope our data helps.
Have a nice day!","yes","USA",NA,NA,16,"1"
"1","103","c2bbbd4413i103","A red and green ball bouncing back and forth.","8","6","b1Motion_b2Causal","b1Path_b2Causal","Motion","Path","stoopwalk","through","pimming","through","0","1","1","1","1","1","0","1","1","1","1","1","The monster is pimming through the flowers.","stoopwalk.through.flowers","tiptoe.through.lighthouse","stoopwalk.between.swings","0","1","1","1","stoopwalk.front.fishtank","crawl.through.pyramid","0","0","1","1","9 4 7 8 7","    47789","47789","","21CDD8XMB3Q3MPIDU7KOCT4GI7FQFV","2SEYHVI44OS2XBCA105ZYBAP5Q6Y4L","Merry Monster Survey","Watch videos and answer questions to learn new words (60-75 minutes)!","psychology, language, words, sentences, judgment","$3.00","Thu Sep 26 16:51:40 GMT 2013",80,"BatchId:1278696;",14400,864000,"Tue Oct 01 16:51:40 GMT 2013",NA,NA,"29UMIKMN9U8PMOLAH9NXO3SZD5TSBZ","AA9V4NE8SOA4I","Approved","Thu Sep 26 17:14:27 GMT 2013","Thu Sep 26 18:37:41 GMT 2013","Sun Oct 06 11:37:41 PDT 2013","Fri Sep 27 11:21:53 PDT 2013",NA,NA,4994,"100% (1/1)","100% (1/1)","100% (1/1)","That was very boring.I hope our data helps.
Have a nice day!","yes","USA",NA,NA,16,"1"
"5","103","c2bbbd4413i103","A red and green ball bouncing back and forth.","9","5","b1Motion_b2Causal","b1Path_b2Causal","Causal","Means","knife","cut","gorping","knife","1","1","1","1","1","1","0","1","1","1","1","1","The monster is gorping the bread.","knife.cut.bread","knife.bend.fork","poker.cut.curtain","1","1","0","1","knife.crush.apple","trowel.cut.cheese","1","","0","","5 1 4 4","   1445","1445","","21CDD8XMB3Q3MPIDU7KOCT4GI7FQFV","2SEYHVI44OS2XBCA105ZYBAP5Q6Y4L","Merry Monster Survey","Watch videos and answer questions to learn new words (60-75 minutes)!","psychology, language, words, sentences, judgment","$3.00","Thu Sep 26 16:51:40 GMT 2013",80,"BatchId:1278696;",14400,864000,"Tue Oct 01 16:51:40 GMT 2013",NA,NA,"29UMIKMN9U8PMOLAH9NXO3SZD5TSBZ","AA9V4NE8SOA4I","Approved","Thu Sep 26 17:14:27 GMT 2013","Thu Sep 26 18:37:41 GMT 2013","Sun Oct 06 11:37:41 PDT 2013","Fri Sep 27 11:21:53 PDT 2013",NA,NA,4994,"100% (1/1)","100% (1/1)","100% (1/1)","That was very boring.I hope our data helps.
Have a nice day!","yes","USA",NA,NA,16,"1"
"157","125","a1a1613a12a125","A red ball chased a smaller green ball across the screen","1","6","b1Causal_b2Motion","b1Means_b2Motion","Causal","Means","pliers","bend","klebbing","pliers","1","1","1","1","1","1","1","1","1","1","1","1","The monster is klebbing the candle.","pliers.bend.candle","hammer.bend.sunflower","pliers.cut.pizza","0","1","1","0","bat.bend.flagpole","pliers.empty.martiniglass","0","0","1","1","4 0 7 1 6","    01467","01467","","21CDD8XMB3Q3MPIDU7KOCT4GI7FQFV","2SEYHVI44OS2XBCA105ZYBAP5Q6Y4L","Merry Monster Survey","Watch videos and answer questions to learn new words (60-75 minutes)!","psychology, language, words, sentences, judgment","$3.00","Thu Sep 26 16:51:40 GMT 2013",80,"BatchId:1278696;",14400,864000,"Tue Oct 01 16:51:40 GMT 2013",NA,NA,"2NMCF806UFBNSIDIIY63F5S1LAN0EK","A3QSDZ8AAGZDKC","Submitted","Thu Sep 26 16:52:39 GMT 2013","Thu Sep 26 18:49:47 GMT 2013","Sun Oct 06 11:49:47 PDT 2013","",NA,NA,7028,"100% (1/1)","0% (0/0)","0% (0/0)","Please, PLEASE make the study remember where you were if it crashes! My study crashed halfway through and I had to start all over from the beginning after I'd been working on it 40+ minutes.","yes","USA",NA,NA,16,"10"
"145","125","a1a1613a12a125","A red ball chased a smaller green ball across the screen","10","8","b1Causal_b2Motion","b1Means_b2Motion","Motion","Manner","walk","front","dacking","walk","0","1","1","1","1","1","1","0","1","1","1","1","The monster is dacking in front of the elephant. ","walk.front.elephant","roll.front.giraffe","walk.over.sandpile","0","0","1","1","walk.through.hut","hop.front.bunny","1","","0","","3 8 0 1 8","    01388","01388","","21CDD8XMB3Q3MPIDU7KOCT4GI7FQFV","2SEYHVI44OS2XBCA105ZYBAP5Q6Y4L","Merry Monster Survey","Watch videos and answer questions to learn new words (60-75 minutes)!","psychology, language, words, sentences, judgment","$3.00","Thu Sep 26 16:51:40 GMT 2013",80,"BatchId:1278696;",14400,864000,"Tue Oct 01 16:51:40 GMT 2013",NA,NA,"2NMCF806UFBNSIDIIY63F5S1LAN0EK","A3QSDZ8AAGZDKC","Submitted","Thu Sep 26 16:52:39 GMT 2013","Thu Sep 26 18:49:47 GMT 2013","Sun Oct 06 11:49:47 PDT 2013","",NA,NA,7028,"100% (1/1)","0% (0/0)","0% (0/0)","Please, PLEASE make the study remember where you were if it crashes! My study crashed halfway through and I had to start all over from the beginning after I'd been working on it 40+ minutes.","yes","USA",NA,NA,16,"10"
"160","125","a1a1613a12a125","A red ball chased a smaller green ball across the screen","11","3","b1Causal_b2Motion","b1Means_b2Motion","Motion","Manner","flapwalk","up","zarking","flapwalk","0","0","1","1","1","1","1","0","1","1","1","1","The monster is zarking up to the cat.","flapwalk.up.cat","flapwalk.around.horse","crawl.up.swan","1","1","0","0","tiptoe.up.well","flapwalk.into.igloo","0","","1","","8 8 4 3 7","    34788","34788","","21CDD8XMB3Q3MPIDU7KOCT4GI7FQFV","2SEYHVI44OS2XBCA105ZYBAP5Q6Y4L","Merry Monster Survey","Watch videos and answer questions to learn new words (60-75 minutes)!","psychology, language, words, sentences, judgment","$3.00","Thu Sep 26 16:51:40 GMT 2013",80,"BatchId:1278696;",14400,864000,"Tue Oct 01 16:51:40 GMT 2013",NA,NA,"2NMCF806UFBNSIDIIY63F5S1LAN0EK","A3QSDZ8AAGZDKC","Submitted","Thu Sep 26 16:52:39 GMT 2013","Thu Sep 26 18:49:47 GMT 2013","Sun Oct 06 11:49:47 PDT 2013","",NA,NA,7028,"100% (1/1)","0% (0/0)","0% (0/0)","Please, PLEASE make the study remember where you were if it crashes! My study crashed halfway through and I had to start all over from the beginning after I'd been working on it 40+ minutes.","yes","USA",NA,NA,16,"10"
"153","125","a1a1613a12a125","A red ball chased a smaller green ball across the screen","12","4","b1Causal_b2Motion","b1Means_b2Motion","Motion","Manner","hop","around","molking","hop","0","0","1","1","1","1","1","0","1","1","1","1","The monster is molking around the penguin.","hop.around.penguin","crabwalk.around.firehouse","hop.up.deer","0","1","1","1","hop.down.gazeebo","walk.around.goat","1","","0","","8 9 0 0 9","    00899","00899","","21CDD8XMB3Q3MPIDU7KOCT4GI7FQFV","2SEYHVI44OS2XBCA105ZYBAP5Q6Y4L","Merry Monster Survey","Watch videos and answer questions to learn new words (60-75 minutes)!","psychology, language, words, sentences, judgment","$3.00","Thu Sep 26 16:51:40 GMT 2013",80,"BatchId:1278696;",14400,864000,"Tue Oct 01 16:51:40 GMT 2013",NA,NA,"2NMCF806UFBNSIDIIY63F5S1LAN0EK","A3QSDZ8AAGZDKC","Submitted","Thu Sep 26 16:52:39 GMT 2013","Thu Sep 26 18:49:47 GMT 2013","Sun Oct 06 11:49:47 PDT 2013","",NA,NA,7028,"100% (1/1)","0% (0/0)","0% (0/0)","Please, PLEASE make the study remember where you were if it crashes! My study crashed halfway through and I had to start all over from the beginning after I'd been working on it 40+ minutes.","yes","USA",NA,NA,16,"10"
"146","125","a1a1613a12a125","A red ball chased a smaller green ball across the screen","13","5","b1Causal_b2Motion","b1Means_b2Motion","Motion","Manner","roll","between","torging","roll","0","1","1","0","1","1","1","0","1","1","1","1","The monster is torging between the trees. ","roll.between.trees","roll.through.tent","walk.between.buildings","1","1","0","0","crabwalk.between.lights","roll.over.shrub","0","","1","","5 6 7 7 0","    05677","05677","","21CDD8XMB3Q3MPIDU7KOCT4GI7FQFV","2SEYHVI44OS2XBCA105ZYBAP5Q6Y4L","Merry Monster Survey","Watch videos and answer questions to learn new words (60-75 minutes)!","psychology, language, words, sentences, judgment","$3.00","Thu Sep 26 16:51:40 GMT 2013",80,"BatchId:1278696;",14400,864000,"Tue Oct 01 16:51:40 GMT 2013",NA,NA,"2NMCF806UFBNSIDIIY63F5S1LAN0EK","A3QSDZ8AAGZDKC","Submitted","Thu Sep 26 16:52:39 GMT 2013","Thu Sep 26 18:49:47 GMT 2013","Sun Oct 06 11:49:47 PDT 2013","",NA,NA,7028,"100% (1/1)","0% (0/0)","0% (0/0)","Please, PLEASE make the study remember where you were if it crashes! My study crashed halfway through and I had to start all over from the beginning after I'd been working on it 40+ minutes.","yes","USA",NA,NA,16,"10"
